Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via_de_acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
Europa;6;Suíça;216;São Paulo;25;Aérea;1;2011;janeiro;1;2217
Europa;6;Outros países;998;São Paulo;25;Aérea;1;2011;janeiro;1;1959
Oceania;7;Austrália;14;São Paulo;25;Aérea;1;2011;janeiro;1;991
Oceania;7;Nova Zelândia;166;São Paulo;25;Aérea;1;2011;janeiro;1;206
Oceania;7;Outros países;998;São Paulo;25;Aérea;1;2011;janeiro;1;11
Continente não especificado;8;Países não especificados;999;São Paulo;25;Aérea;1;2011;janeiro;1;12
África;1;África do Sul;2;São Paulo;25;Aérea;1;2010;janeiro;1;933
África;1;Angola;6;São Paulo;25;Aérea;1;2010;janeiro;1;2208
África;1;Cabo Verde;35;São Paulo;25;Aérea;1;2010;janeiro;1;16
África;1;Nigéria;162;São Paulo;25;Aérea;1;2010;janeiro;1;95
África;1;Outros países;998;São Paulo;25;Aérea;1;2010;janeiro;1;882
América Central e Caribe;2;Costa Rica;53;São Paulo;25;Aérea;1;2010;janeiro;1;350
América Central e Caribe;2;Cuba;55;São Paulo;25;Aérea;1;2010;janeiro;1;162
América Central e Caribe;2;Guatemala;84;São Paulo;25;Aérea;1;2010;janeiro;1;164
América Central e Caribe;2;Panamá;170;São Paulo;25;Aérea;1;2010;janeiro;1;193
América Central e Caribe;2;Outros países;998;São Paulo;25;Aérea;1;2010;janeiro;1;340
América do Norte;3;Canadá;38;São Paulo;25;Aérea;1;2010;janeiro;1;3474
América do Norte;3;Estados Unidos;68;São Paulo;25;Aérea;1;2010;janeiro;1;24639
América do Norte;3;México;148;São Paulo;25;Aérea;1;2010;janeiro;1;2891
América do Sul;4;Argentina;11;São Paulo;25;Aérea;1;2010;janeiro;1;23568
América do Sul;4;Bolívia;26;São Paulo;25;Aérea;1;2010;janeiro;1;3773
América do Sul;4;Chile;42;São Paulo;25;Aérea;1;2010;janeiro;1;10194
América do Sul;4;Colômbia;48;São Paulo;25;Aérea;1;2010;janeiro;1;3416
América do Sul;4;Equador;63;São Paulo;25;Aérea;1;2010;janeiro;1;614
América do Sul;4;Guiana Francesa;87;São Paulo;25;Aérea;1;2010;janeiro;1;51
América do Sul;4;Paraguai;173;São Paulo;25;Aérea;1;2010;janeiro;1;2262
América do Sul;4;Peru;174;São Paulo;25;Aérea;1;2010;janeiro;1;2281
América do Sul;4;Guiana;86;São Paulo;25;Aérea;1;2010;janeiro;1;8
América do Sul;4;Suriname;217;São Paulo;25;Aérea;1;2010;janeiro;1;6
América do Sul;4;Uruguai;234;São Paulo;25;Aérea;1;2010;janeiro;1;2772
América do Sul;4;Venezuela;238;São Paulo;25;Aérea;1;2010;janeiro;1;2179
Ásia;5;China;43;São Paulo;25;Aérea;1;2010;janeiro;1;1596
Ásia;5;Índia;113;São Paulo;25;Aérea;1;2010;janeiro;1;713
Ásia;5;Israel;119;São Paulo;25;Aérea;1;2010;janeiro;1;2743
Ásia;5;Japão;122;São Paulo;25;Aérea;1;2010;janeiro;1;2175
Ásia;5;República da Coreia;184;São Paulo;25;Aérea;1;2010;janeiro;1;1769
Ásia;5;Outros países;998;São Paulo;25;Aérea;1;2010;janeiro;1;1170
Europa;6;Alemanha;4;São Paulo;25;Aérea;1;2010;janeiro;1;7879
Europa;6;Áustria;15;São Paulo;25;Aérea;1;2010;janeiro;1;1125
Europa;6;Bélgica;21;São Paulo;25;Aérea;1;2010;janeiro;1;1181
Europa;6;Dinamarca;57;São Paulo;25;Aérea;1;2010;janeiro;1;908
Europa;6;Espanha;67;São Paulo;25;Aérea;1;2010;janeiro;1;5493
Europa;6;Finlândia;73;São Paulo;25;Aérea;1;2010;janeiro;1;546
Europa;6;França;74;São Paulo;25;Aérea;1;2010;janeiro;1;7730
Europa;6;Grécia;81;São Paulo;25;Aérea;1;2010;janeiro;1;259
Europa;6;Holanda;92;São Paulo;25;Aérea;1;2010;janeiro;1;2862
Europa;6;Hungria;94;São Paulo;25;Aérea;1;2010;janeiro;1;284
Europa;6;Reino Unido/ Inglaterra;182;São Paulo;25;Aérea;1;2010;janeiro;1;6166
